Id,SalePrice
1461,119960.17813674967
1462,139817.79085701602
1463,182139.06131702068
1464,183200.13841877916
1465,199346.9764094333
1466,184297.04160006388
1467,172830.01620173626
1468,177403.56699092008
1469,176531.48694404034
1470,112107.71603716152
1471,195234.28051994825
1472,94654.45693795498
1473,106544.4379784262
1474,158019.05415299206
1475,134771.4133745503
1476,401407.104310951
1477,247559.66807323872
1478,310258.4269406793
1479,305079.06158390106
1480,479496.98861918645
1481,321914.9191192675
1482,209017.57196916043
1483,190837.47704441342
1484,174568.53435869465
1485,166897.41177469448
1486,212676.83352974075
1487,391571.5177379189
1488,253251.50872216508
1489,196441.66901254057
1490,229957.06831942772
1491,192416.79493151436
1492,104003.62753628126
1493,178593.77495536677
1494,294215.2199188471
1495,293294.20381223946
1496,247396.61625656683
1497,195350.9538162113
1498,156514.72687707163
1499,156215.69693939816
1500,158908.39543468461
1501,168568.0838632299
1502,151232.75021908653
1503,303382.3807404013
1504,230707.0856927914
1505,211327.8832218599
1506,207094.43647645428
1507,262008.62686457922
1508,189086.86269187718
1509,165721.385040563
1510,155399.49216353605
1511,165454.0527116416
1512,168286.1586637596
1513,152608.11288278748
1514,141346.61184216608
1515,186962.9989596784
1516,152859.1353003941
1517,140825.28963523472
1518,131230.31989850578
1519,211003.67044971767
1520,133438.93024921283
1521,134335.8468044648
1522,163217.24232798172
1523,118591.21221826287
1524,119529.0272606381
1525,122104.88386995914
1526,122161.71505229693
1527,107287.75517910338
1528,126290.31771020444
1529,153104.15620645817
1530,164818.32130487225
1531,145567.2667381595
1532,95144.05134216769
1533,131806.8981627324
1534,147142.38964827437
1535,154051.1072304989
1536,124848.85762872387
1537,94419.03745351978
1538,151245.84598522852
1539,158132.45527601315
1540,130017.26518554616
1541,138599.18960279826
1542,143140.17384460443
1543,221702.6012064187
1544,77426.48158555565
1545,116192.35358774547
1546,132854.24648529085
1547,141672.80743092878
1548,126343.4685664316
1549,125505.07571563026
1550,146122.63572534136
1551,100784.34977077626
1552,147290.34114120484
1553,142718.97519258302
1554,108370.16323591351
1555,185319.32934770038
1556,119736.58346969762
1557,119116.06798645406
1558,98922.16157134523
1559,121976.64354960824
1560,141622.5300925747
1561,144358.6679450674
1562,127142.01168296284
1563,115929.25202554696
1564,179034.9069822036
1565,144508.87280906495
1566,198057.70153593068
1567,81841.58271464064
1568,213097.6326158841
1569,165026.9277362468
1570,126086.04409175935
1571,113051.61998121788
1572,153429.1799803504
1573,219147.4747397746
1574,137658.39377450236
1575,197890.27487200708
1576,214877.36423103366
1577,196048.61307901304
1578,125193.3816543148
1579,144577.00947667146
1580,183209.97161335382
1581,140648.2490124059
1582,120384.76594363737
1583,298436.8451781295
1584,240327.99996091996
1585,142035.38760936237
1586,85335.81218038822
1587,101635.06038594616
1588,146256.58263637405
1589,111687.19998941143
1590,135008.90377799448
1591,98960.57427228258
1592,141843.13585435558
1593,109941.02141585834
1594,103929.9623360776
1595,143677.31508726202
1596,260608.2861180085
1597,162440.40428721017
1598,180234.96854243643
1599,160272.61593820498
1600,169616.2574019026
1601,71906.8727630057
1602,127630.51580450757
1603,103404.48473760032
1604,285024.61634364486
1605,252701.98203850875
1606,161035.3725605167
1607,196257.09279801836
1608,210242.91629770788
1609,189826.07233152603
1610,170816.61215558695
1611,148685.24872522318
1612,224190.9128744106
1613,167569.6958589688
1614,138387.9508236121
1615,92512.11253078094
1616,92512.11253078094
1617,101113.4580183657
1618,128425.84368654319
1619,134246.76585163205
1620,171051.3843804786
1621,147337.85882610272
1622,145855.79933355335
1623,269439.0437556542
1624,218985.7489989842
1625,107784.55704999219
1626,170179.89120389198
1627,182279.9729434422
1628,271186.6107805067
1629,180324.31119271615
1630,437594.79411847144
1631,239697.75056024722
1632,253290.71578279466
1633,166569.7264683227
1634,188394.60277127943
1635,183371.92819068357
1636,164924.71873367543
1637,182311.20287556722
1638,208244.28629492552
1639,176493.40326493443
1640,267845.91018549365
1641,186932.36754108572
1642,222284.1581569092
1643,248738.18786632415
1644,226312.72970968904
1645,185801.69198980267
1646,154553.9029448674
1647,149423.5070504923
1648,153414.80448170842
1649,137156.48187898303
1650,109759.54613581877
1651,116702.03211997803
1652,95338.85823629552
1653,96544.55987404764
1654,172337.6947323046
1655,147984.32901506228
1656,164879.02816474094
1657,167330.2397284124
1658,176533.18767371902
1659,120830.47333323439
1660,145554.43787835637
1661,488030.41851914185
1662,387651.38965115184
1663,394915.9473918948
1664,465284.0027645404
1665,325043.2707861271
1666,318088.283501223
1667,402457.40046730166
1668,325122.6810961809
1669,298724.61638260965
1670,332972.620794833
1671,249511.83369052585
1672,458649.2161626541
1673,296763.81690668274
1674,251634.53417959652
1675,195813.6904530115
1676,188500.74975131758
1677,211285.6871392254
1678,453917.0694753629
1679,437389.74459164863
1680,368107.0661506331
1681,294063.24924718385
1682,298514.29056377005
1683,189595.54605425673
1684,175442.6875193461
1685,176468.4589960851
1686,183695.22532492082
1687,166192.9702905342
1688,194587.92792262184
1689,191248.3628457807
1690,179990.65113257006
1691,169765.0075258212
1692,280518.85441279353
1693,165156.52694618967
1694,178832.21126985605
1695,172570.8661607991
1696,259131.46829598938
1697,154766.27542214154
1698,336550.0481953382
1699,329008.4768350125
1700,234605.89201752326
1701,261819.92141687262
1702,259379.97210585882
1703,264189.3881242951
1704,252162.44137850445
1705,251018.31160964895
1706,406357.91741264495
1707,240805.4346576826
1708,202675.2628521032
1709,257702.02135735817
1710,231639.83522739253
1711,268688.3940395079
